car_name,model,mileage(Km),year,condition,price(₦)
Mercedes-Benz,C,999999,2001,NigerianUsed,794000
Toyota,Camry,26839,2007,NigerianUsed,2026000
Toyota,Camry,184320,2007,NigerianUsed,2810000
Chevrolet,Malibu,36337,2015,NigerianUsed,5834000
Mercedes-Benz,Ml350,152536,2006,NigerianUsed,1690000
Honda,Accord,95253,2010,NigerianUsed,2810000
Mercedes-Benz,C300,144059,2009,ForeignUsed,4490000
Hyundai,Ix35,126951,2011,NigerianUsed,2810000
Nissan,Urvan,55817,2007,NigerianUsed,1152400
Mazda,Premacy,211297,1999,NigerianUsed,906000
BMW,3,195435,2008,ForeignUsed,3594000
Toyota,Corolla,125950,2005,NigerianUsed,1242000
Toyota,Corolla,110715,2005,NigerianUsed,2138000
Ford,Explorer,1,2005,NigerianUsed,1416250
Toyota,Highlander,216864,2008,NigerianUsed,2922000
Ford,Escape,201323,2006,NigerianUsed,910000
Toyota,Sienna,119432,2008,ForeignUsed,2586000
Honda,Civic,46746,2008,ForeignUsed,3146000
Toyota,Sienna,265109,2006,ForeignUsed,3034000
Ford,Explorer,173938,2007,NigerianUsed,3090000
Honda,Pilot,189422,2010,NigerianUsed,2810000
Toyota,Corolla,190340,2008,NigerianUsed,1220000
Mercedes-Benz,S550,34590,2008,NigerianUsed,5834000
Toyota,Sienna,26749,2006,NigerianUsed,2026000
Acura,Mdx,77468,2008,NigerianUsed,1914000
Toyota,Avalon,94987,2005,NigerianUsed,2138000
Toyota,Camry,84693,2012,ForeignUsed,5635000
